sp,postri,family,order,q0.025,q0.05,q0.25,q0.5,q0.75,q0.95,q0.975,crosscount
Platycercus_eximius,-0.391509142091209,Psittacidae,PSITTACIFORMES,-1.03226,-0.8985308,-0.5726006,-0.3496394,-0.1338419,0.180693,0.27771275,3
Psephotus_dissimilis,0.016777742103996,Psittacidae,PSITTACIFORMES,-0.691613,-0.5775236,-0.2561077,-0.009927412,0.2678605,0.643239,0.76806285,1
Psittacula_eupatria,-0.27252956630969,Psittacidae,PSITTACIFORMES,-1.1296095,-1.036592,-0.5705902,-0.2731768,0.02017246,0.4677468,0.56347935,1
Sterna_albifrons,-0.393342374593806,Laridae,CHARADRIIFORMES,-1.2525685,-1.065185,-0.6345691,-0.3662927,-0.1022501,0.2565751,0.37675995,1
Eudocimus_ruber,-0.280123859251848,Threskiornithidae,PELECANIFORMES,-1.2085525,-1.059453,-0.6069284,-0.2865943,0.005280442,0.356173,0.45557165,1
Macronectes_halli,0.605787761641359,Procellariidae,PROCELLARIIFORMES,-0.2027814,-0.1046943,0.2966796,0.5887025,0.8579226,1.25649,1.3918045,1
Copsychus_saularis,0.369547076538861,Muscicapidae,PASSERIFORMES,-0.33913685,-0.2093517,0.1360707,0.4030384,0.6588434,1.003616,1.11249,1
Luscinia_luscinia,0.125854591154545,Muscicapidae,PASSERIFORMES,-0.49042295,-0.4448996,-0.136791,0.1048407,0.3558318,0.7025813,0.81006885,2
Motacilla_alba,-0.283840103358741,Motacillidae,PASSERIFORMES,-1.1586195,-1.036986,-0.5856151,-0.278868,-0.02240409,0.3226301,0.43768605,1
Lanius_collurio,-0.361179579047303,Laniidae,PASSERIFORMES,-1.196404,-1.05961,-0.6445437,-0.3570916,-0.02904729,0.4794835,0.59443105,1
Vermivora_chrysoptera,-0.2627057357003,Parulidae,PASSERIFORMES,-1.08846,-0.9793607,-0.5800414,-0.3023545,0.01848109,0.3873042,0.52397385,1
Amadina_erythrocephala,-0.334449684226274,Estrildidae,PASSERIFORMES,-1.061433,-0.9094512,-0.5456609,-0.3149255,-0.09588413,0.2228705,0.32939245,1
Amadina_fasciata,0.497051141079421,Estrildidae,PASSERIFORMES,-0.088170795,0.01414676,0.2863771,0.4777616,0.6773105,0.9976557,1.1230295,2
Pytilia_melba,-0.0587391919538462,Estrildidae,PASSERIFORMES,-0.72938735,-0.6267273,-0.3024236,-0.06517504,0.1958937,0.5913112,0.7325889,1
Erythrura_prasina,-0.0316810265180919,Estrildidae,PASSERIFORMES,-0.7617787,-0.6332801,-0.2500571,0.001551294,0.2744335,0.6537179,0.74093675,1
Estrilda_astrild,-0.525507430607203,Estrildidae,PASSERIFORMES,-1.275328,-1.137937,-0.7823818,-0.5417333,-0.2666936,0.05014263,0.14689675,2
Uraeginthus_bengalus,-0.408350244452448,Estrildidae,PASSERIFORMES,-1.205134,-1.08593,-0.6516267,-0.3898701,-0.168961,0.1739644,0.27080405,2
Lonchura_castaneothorax,0.183467376201978,Estrildidae,PASSERIFORMES,-0.17822525,-0.1284999,0.06004633,0.1796206,0.298118,0.4798114,0.54881785,3
Lonchura_cucullata,0.086702996365035,Estrildidae,PASSERIFORMES,-0.30513755,-0.237785,-0.04132365,0.0822128,0.2085538,0.3978548,0.4598129,3
Lonchura_fringilloides,-0.0620483087893307,Estrildidae,PASSERIFORMES,-0.56270595,-0.4946967,-0.2365166,-0.06641499,0.09869311,0.3590544,0.4311752,3
Lonchura_leucogastroides,-0.305096359185814,Estrildidae,PASSERIFORMES,-1.0089775,-0.8946611,-0.5440209,-0.3246945,-0.08238311,0.2437502,0.32706945,1
Lonchura_malabarica,-0.0343059966571728,Estrildidae,PASSERIFORMES,-0.3821008,-0.325401,-0.1490189,-0.03060943,0.08521731,0.2665148,0.32193415,4
Lonchura_striata,-0.0767415244924076,Estrildidae,PASSERIFORMES,-0.3212063,-0.2816357,-0.1649219,-0.07518333,0.01780131,0.1349436,0.18514365,10
Passer_domesticus,-0.348300857345614,Passeridae,PASSERIFORMES,-1.2438465,-1.097017,-0.6883181,-0.3676051,-0.0938747,0.2656806,0.3450454,2
Passer_montanus,0.245225249475325,Passeridae,PASSERIFORMES,-0.4563652,-0.3580893,-0.02792664,0.2088823,0.4823458,0.8697739,1.0432205,1
Poephila_acuticauda,-0.13174623765994,Estrildidae,PASSERIFORMES,-0.46775705,-0.4263284,-0.248191,-0.1310574,-0.01411941,0.12605,0.19009865,6
Taeniopygia_bichenovii,0.123158231002977,Estrildidae,PASSERIFORMES,-0.26401965,-0.2163505,-0.01738103,0.1067206,0.2298679,0.4557012,0.51832095,3
Poephila_cincta,-0.0504286941157542,Estrildidae,PASSERIFORMES,-0.3724793,-0.3188066,-0.1701268,-0.04177528,0.07493535,0.2484745,0.3181234,4
Ramphocelus_flammigerus,-0.236868115116384,Thraupidae,PASSERIFORMES,-1.1862205,-1.073335,-0.5683017,-0.2111796,0.07779223,0.4924809,0.6493668,1
Ramphocelus_bresilius,-0.175730211483417,Thraupidae,PASSERIFORMES,-1.079084,-0.93925,-0.4797746,-0.2036609,0.06299453,0.4652529,0.5995097,1
Fringilla_coelebs,0.0375038361628372,Fringillidae,PASSERIFORMES,-0.70517455,-0.6101454,-0.2363805,0.0182626,0.2872264,0.6173478,0.74969735,1
Serinus_alario,0.0722407307374725,Fringillidae,PASSERIFORMES,-0.359425,-0.2721748,-0.05958742,0.06673337,0.2240345,0.4267576,0.4952973,2
Carduelis_atrata,-0.0994669402938062,Fringillidae,PASSERIFORMES,-0.5922696,-0.5212244,-0.2675427,-0.0979302,0.07235331,0.3575236,0.45435,1
Carduelis_cannabina,-0.119289446413087,Fringillidae,PASSERIFORMES,-0.4689016,-0.397981,-0.2425789,-0.127234,-0.006163665,0.1698709,0.22669205,3
Carduelis_carduelis,-0.0199118636453846,Fringillidae,PASSERIFORMES,-0.2860493,-0.2518906,-0.1172091,-0.02310678,0.07086085,0.2152925,0.26942905,6
Carduelis_cucullata,-0.096454804012987,Fringillidae,PASSERIFORMES,-0.449774,-0.3936314,-0.208604,-0.09349643,0.03572006,0.1969804,0.25304765,3
Carduelis_flammea,-0.0533224800328671,Fringillidae,PASSERIFORMES,-0.5796331,-0.487261,-0.2314889,-0.04879111,0.1098711,0.3457216,0.4132388,2
Carduelis_magellanica,0.0224452855336763,Fringillidae,PASSERIFORMES,-0.35574385,-0.301935,-0.1034945,0.01574174,0.1450602,0.321229,0.35667955,3
Carduelis_psaltria,-0.0774364966757243,Fringillidae,PASSERIFORMES,-0.5845234,-0.4909144,-0.2401045,-0.06938638,0.1108191,0.3924467,0.4682511,1
Carduelis_spinoides,-0.36809338574975,Fringillidae,PASSERIFORMES,-1.183611,-1.069994,-0.6110157,-0.3491199,-0.1196117,0.1940816,0.31442525,1
Carduelis_spinus,-0.0692126544836164,Fringillidae,PASSERIFORMES,-0.3633558,-0.3158805,-0.1759148,-0.06940521,0.04397279,0.1975069,0.2331815,4
Carpodacus_mexicanus,-0.674522074485514,Fringillidae,PASSERIFORMES,-1.294482,-1.184594,-0.8581943,-0.6540616,-0.4590274,-0.1437521,-0.05147392,1
Carduelis_chloris,-0.0983423070234166,Fringillidae,PASSERIFORMES,-0.4150272,-0.3529626,-0.1966078,-0.09259112,0.008214791,0.1548549,0.2036498,5
Passerina_cyanea,-0.35243695173966,Emberizidae,PASSERIFORMES,-1.1242955,-1.010147,-0.6056199,-0.3217519,-0.03843122,0.3959783,0.5034494,1
Pinicola_enucleator,0.526735800344655,Fringillidae,PASSERIFORMES,-0.25767825,-0.1588659,0.2019124,0.4574355,0.7612578,1.192206,1.335022,1
Pipilo_erythrophthalmus,-0.265572123965704,Emberizidae,PASSERIFORMES,-1.090546,-0.9754389,-0.5464129,-0.252482,0.02490447,0.4609061,0.57609795,1
Serinus_canaria,0.112386931595005,Fringillidae,PASSERIFORMES,-0.1165945,-0.0803566,0.03310288,0.1081499,0.1853193,0.3001573,0.32865005,19
Serinus_flaviventris,-0.0640107231088911,Fringillidae,PASSERIFORMES,-0.48631755,-0.4406299,-0.2041307,-0.0505367,0.0948539,0.3218321,0.3903517,3
Serinus_leucopygius,-0.00985923406633367,Fringillidae,PASSERIFORMES,-0.4845261,-0.3992199,-0.1707447,-0.02835132,0.1204402,0.347053,0.4151325,2
Pheucticus_ludovicianus,-0.293091876583117,Cardinalidae,PASSERIFORMES,-1.156222,-1.021569,-0.5829144,-0.2699433,0.04026157,0.3947315,0.5299698,1
Sturnella_magna,0.211465059418581,Icteridae,PASSERIFORMES,-0.5493255,-0.4100513,-0.06871988,0.174606,0.4259129,0.8296553,0.9146158,1
Sphyrapicus_nuchalis,-0.257330714532168,Picidae,PICIFORMES,-1.106335,-0.96358,-0.546901,-0.2159745,0.06599464,0.4871243,0.6144439,1
Contopus_virens,-0.234702520423576,Tyrannidae,PASSERIFORMES,-1.106536,-0.916747,-0.5056221,-0.2229935,0.05483685,0.4726721,0.57887035,1
Parus_atricapillus,-0.377143741704296,Paridae,PASSERIFORMES,-1.1273425,-0.9913421,-0.6406274,-0.3386023,-0.07162023,0.3444561,0.5198206,1
Petroica_traversi,0.0193011599035764,Petroicidae,PASSERIFORMES,-0.79474415,-0.6364193,-0.2704784,-0.01834258,0.2500606,0.6523866,0.74358825,1
Icterus_galbula,-0.29281038004006,Icteridae,PASSERIFORMES,-1.157713,-1.029332,-0.6168107,-0.3129806,0.01427066,0.4744694,0.6586301,1
Ficedula_albicollis,0.118728507100899,Muscicapidae,PASSERIFORMES,-0.6321201,-0.529266,-0.1858655,0.0655247,0.3352087,0.7626226,0.8848667,1
Dendroica_occidentalis,-0.330163750718192,Parulidae,PASSERIFORMES,-1.1646025,-1.039709,-0.596904,-0.2985112,-0.02579433,0.380975,0.49327305,1
Astrapia_stephaniae,-0.195874306399401,Paradisaeidae,PASSERIFORMES,-1.0502795,-0.8984997,-0.5058114,-0.2035464,0.0562128,0.4736588,0.5868698,1
Rhea_americana,-0.294271385151648,Rheidae,RHEIFORMES,-1.221541,-1.05429,-0.5608765,-0.2320768,0.05026767,0.4466602,0.5615002,1
Nycticorax_caledonicus,-0.46718467678951,Ardeidae,PELECANIFORMES,-1.1950575,-1.086915,-0.7180806,-0.4841847,-0.2075795,0.1530317,0.2669001,1
Ciconia_nigra,0.371593532395704,Ciconiidae,CICONIIFORMES,-0.4368482,-0.3038796,0.0698957,0.3685053,0.648907,1.042038,1.1758185,1
Anas_sibilatrix,0.23794944352048,Anatidae,ANSERIFORMES,-0.13755705,-0.06956396,0.09951094,0.2238623,0.3455769,0.5447999,0.5896961,3
Chloephaga_picta,0.130791134915385,Anatidae,ANSERIFORMES,-0.4758675,-0.3580258,-0.07271265,0.123822,0.3289716,0.6083938,0.70804165,2
Cyanochen_cyanoptera,0.0216844902440559,Anatidae,ANSERIFORMES,-0.67461655,-0.5652739,-0.2274188,0.02096351,0.2542592,0.6080381,0.7082307,1
Anas_strepera,0.0464895785001998,Anatidae,ANSERIFORMES,-0.35383785,-0.2900061,-0.09455957,0.04489507,0.1919489,0.396417,0.4649859,3
Netta_rufina,0.271735577905694,Anatidae,ANSERIFORMES,-0.0048195545,0.03878776,0.1780164,0.2734112,0.3664641,0.5065115,0.55326255,6
Anas_querquedula,-0.245424822905924,Anatidae,ANSERIFORMES,-1.1216935,-0.9829567,-0.5102279,-0.2462001,0.05049801,0.4253097,0.5740429,1
Anas_discors,-0.232440338134865,Anatidae,ANSERIFORMES,-1.105636,-0.9539557,-0.4988,-0.2017806,0.06623855,0.4142234,0.55557735,1
Anas_undulata,-0.118866113316194,Anatidae,ANSERIFORMES,-0.5285948,-0.4623557,-0.2459775,-0.1129411,0.01485456,0.2110398,0.2797299,5
Aythya_fuligula,0.0190698293346054,Anatidae,ANSERIFORMES,-0.3548112,-0.3069946,-0.1334786,-5.391566e-05,0.1498461,0.3538969,0.4076296,2
Anas_rubripes,-0.374184902862637,Anatidae,ANSERIFORMES,-1.109405,-1.003614,-0.6019351,-0.3497619,-0.1178688,0.2018159,0.30177275,1
Cairina_moschata,-0.0277571446275724,Anatidae,ANSERIFORMES,-0.3958388,-0.3484638,-0.1577469,-0.03528898,0.09234201,0.2716126,0.32294205,3
Tadorna_tadorna,-0.0191748207715285,Anatidae,ANSERIFORMES,-0.42913515,-0.3444885,-0.1539665,-0.02767984,0.1029676,0.2862156,0.35272535,3
Anser_brachyrhynchus,0.767382589487512,Anatidae,ANSERIFORMES,0.10485735,0.1998006,0.5224297,0.7499076,0.9552221,1.306591,1.418912,1
Branta_bernicla,0.134166424653247,Anatidae,ANSERIFORMES,-0.39768665,-0.3284344,-0.03955588,0.14093,0.3295918,0.5934119,0.67673425,1
Branta_leucopsis,-0.146416400991808,Anatidae,ANSERIFORMES,-0.60992645,-0.5452592,-0.3121483,-0.1492258,0.0008496944,0.2097545,0.27312655,2
Aythya_valisineria,-0.245470423672747,Anatidae,ANSERIFORMES,-1.091854,-0.9703531,-0.5242973,-0.233739,0.06135098,0.4436053,0.58544695,1
Aythya_nyroca,-0.463579580418981,Anatidae,ANSERIFORMES,-1.223035,-1.090373,-0.6830618,-0.431084,-0.195324,0.1011513,0.2165945,1
Cygnus_olor,-0.0354757136716284,Anatidae,ANSERIFORMES,-0.50218045,-0.4300334,-0.1963315,-0.03835689,0.154136,0.3903409,0.460398,2
Tadorna_radjah,-0.29155937681998,Anatidae,ANSERIFORMES,-1.093391,-0.9584436,-0.5555796,-0.2813735,-0.01835484,0.3090854,0.38833425,1
Crax_fasciolata,-0.208446298808392,Cracidae,GALLIFORMES,-0.9014454,-0.8021667,-0.4704644,-0.2224533,0.009838704,0.3269982,0.4395005,1
