sp,postri,family,order,q0.025,q0.05,q0.25,q0.5,q0.75,q0.95,q0.975,crosscount
Luscinia_megarhynchos,0.0142183349290709,Muscicapidae,PASSERIFORMES,-0.758844,-0.6286013,-0.2249842,0.0154194,0.2507145,0.6241171,0.6999739,1
Motacilla_cinerea,-0.351257025698472,Motacillidae,PASSERIFORMES,-1.075807,-0.9841813,-0.6113312,-0.3423979,-0.08804,0.2916136,0.41149045,1
Lanius_cristatus,-0.226616979645355,Laniidae,PASSERIFORMES,-1.1115175,-0.9482087,-0.5107248,-0.2250644,0.06706757,0.4610433,0.5349373,1
Vermivora_pinus,-0.396028633304396,Parulidae,PASSERIFORMES,-1.2111205,-1.07717,-0.6235888,-0.3219065,-0.04789567,0.3897569,0.5416044,1
Pytilia_afra,-0.0950186935130869,Estrildidae,PASSERIFORMES,-0.834416,-0.7192944,-0.3655451,-0.0953072,0.1416846,0.4816687,0.58689795,1
Erythrura_trichroa,0.027691785022977,Estrildidae,PASSERIFORMES,-0.77838205,-0.6768913,-0.2808573,0.007186024,0.2835384,0.6575062,0.77938445,1
Estrilda_troglodytes,-0.232544161973027,Estrildidae,PASSERIFORMES,-1.065895,-0.9060113,-0.4757816,-0.1823779,0.1211979,0.4734291,0.6241457,1
Uraeginthus_cyanocephalus,-0.238973144106455,Estrildidae,PASSERIFORMES,-1.0567095,-0.9289174,-0.5206188,-0.2522187,0.05686728,0.4615566,0.5818095,1
Lonchura_maja,0.0581919744958042,Estrildidae,PASSERIFORMES,-0.36304985,-0.304194,-0.0767426,0.05569418,0.2000403,0.3870191,0.46188665,2
Lonchura_malacca,0.0732958497360639,Estrildidae,PASSERIFORMES,-0.35689925,-0.2866626,-0.08073479,0.07716561,0.2281238,0.4393872,0.5037514,2
Lonchura_bicolor,-0.383443865236963,Estrildidae,PASSERIFORMES,-1.1555115,-1.034136,-0.6442889,-0.3919868,-0.1481219,0.1667065,0.2665079,1
